actor,year,polity,eu,gdppc,gdppc_log,gniam,gniam_log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI,1995,-1,0,494.5820719,2.69423837,3669042870,9.564552786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,1995,6,0,826.9733705,2.917491525,509387876.7,8.707048605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAI,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,1995,-7,0,23497.39106,4.371019645,1.45E+11,11.161368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON,1995,6,0,919.9379933,2.963758556,5119171170,9.709199651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,1995,10,0,4494.707624,3.652701447,43906091023,10.64252477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,1995,0,0,26633.6051,4.425429956,7721593483,9.887706934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,1995,8,0,373.6282338,2.572439687,3.54E+11,11.54900326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS,1995,-7,0,1020.146681,3.008662621,1.95E+11,11.29003461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,1995,6,0,18916.72597,4.276845973,1.15E+11,11.06069784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,1995,9,0,2621.181995,3.418497176,5813794956,9.764459711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,1995,10,0,44197.62889,4.645398971,5.34E+12,12.72754126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,1995,-5,0,336.5653474,2.527069399,7450068971,9.872160293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUW,1995,-7,0,16424.99077,4.215505134,32947998819,10.51782904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYR,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZK,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES,1995,5,0,518.0212392,2.714347566,1309737606,9.117184297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE,1995,0,0,78618.47561,4.895524619,2163387502,9.335134316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIT,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAA,1995,-6,0,878.7505856,2.943865627,2073879860,9.316783594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAD,1995,0,0,1545.223056,3.18899118,465614973.8,8.668026938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
